"","gutenberg_id","story","line","word"
"79",1661,"ADVENTURE I. A SCANDAL IN BOHEMIA",23,"memory"
"80",1661,"ADVENTURE I. A SCANDAL IN BOHEMIA",25,"marriage"
"81",1661,"ADVENTURE I. A SCANDAL IN BOHEMIA",25,"drifted"
"82",1661,"ADVENTURE I. A SCANDAL IN BOHEMIA",26,"complete"
"83",1661,"ADVENTURE I. A SCANDAL IN BOHEMIA",26,"happiness"
"84",1661,"ADVENTURE I. A SCANDAL IN BOHEMIA",27,"home"
"85",1661,"ADVENTURE I. A SCANDAL IN BOHEMIA",27,"centred"
"86",1661,"ADVENTURE I. A SCANDAL IN BOHEMIA",27,"rise"
"87",1661,"ADVENTURE I. A SCANDAL IN BOHEMIA",28,"master"
"88",1661,"ADVENTURE I. A SCANDAL IN BOHEMIA",28,"establishment"
"89",1661,"ADVENTURE I. A SCANDAL IN BOHEMIA",28,"sufficient"
"90",1661,"ADVENTURE I. A SCANDAL IN BOHEMIA",29,"absorb"
"91",1661,"ADVENTURE I. A SCANDAL IN BOHEMIA",29,"attention"
"92",1661,"ADVENTURE I. A SCANDAL IN BOHEMIA",29,"loathed"
"93",1661,"ADVENTURE I. A SCANDAL IN BOHEMIA",29,"form"
"94",1661,"ADVENTURE I. A SCANDAL IN BOHEMIA",30,"society"
"95",1661,"ADVENTURE I. A SCANDAL IN BOHEMIA",30,"bohemian"
"96",1661,"ADVENTURE I. A SCANDAL IN BOHEMIA",30,"soul"
"97",1661,"ADVENTURE I. A SCANDAL IN BOHEMIA",30,"remained"
"98",1661,"ADVENTURE I. A SCANDAL IN BOHEMIA",30,"lodgings"
"99",1661,"ADVENTURE I. A SCANDAL IN BOHEMIA",31,"baker"
"100",1661,"ADVENTURE I. A SCANDAL IN BOHEMIA",31,"street"
"101",1661,"ADVENTURE I. A SCANDAL IN BOHEMIA",31,"buried"
"102",1661,"ADVENTURE I. A SCANDAL IN BOHEMIA",31,"books"
"103",1661,"ADVENTURE I. A SCANDAL IN BOHEMIA",31,"alternating"
"104",1661,"ADVENTURE I. A SCANDAL IN BOHEMIA",32,"week"
"105",1661,"ADVENTURE I. A SCANDAL IN BOHEMIA",32,"week"
"106",1661,"ADVENTURE I. A SCANDAL IN BOHEMIA",32,"cocaine"
"107",1661,"ADVENTURE I. A SCANDAL IN BOHEMIA",32,"ambition"
"108",1661,"ADVENTURE I. A SCANDAL IN BOHEMIA",32,"drowsiness"
"109",1661,"ADVENTURE I. A SCANDAL IN BOHEMIA",33,"drug"
"110",1661,"ADVENTURE I. A SCANDAL IN BOHEMIA",33,"fierce"
"111",1661,"ADVENTURE I. A SCANDAL IN BOHEMIA",33,"energy"
"112",1661,"ADVENTURE I. A SCANDAL IN BOHEMIA",33,"keen"
"113",1661,"ADVENTURE I. A SCANDAL IN BOHEMIA",33,"nature"
"114",1661,"ADVENTURE I. A SCANDAL IN BOHEMIA",34,"deeply"
"115",1661,"ADVENTURE I. A SCANDAL IN BOHEMIA",34,"attracted"
"116",1661,"ADVENTURE I. A SCANDAL IN BOHEMIA",34,"study"
"117",1661,"ADVENTURE I. A SCANDAL IN BOHEMIA",34,"crime"
"118",1661,"ADVENTURE I. A SCANDAL IN BOHEMIA",34,"occupied"
"119",1661,"ADVENTURE I. A SCANDAL IN BOHEMIA",35,"immense"
"120",1661,"ADVENTURE I. A SCANDAL IN BOHEMIA",35,"faculties"
"121",1661,"ADVENTURE I. A SCANDAL IN BOHEMIA",35,"extraordinary"
"122",1661,"ADVENTURE I. A SCANDAL IN BOHEMIA",35,"powers"
